"","ints","mean.K","mean.EC","mean.ECD","mean.PID","mean.FID","max.K","max.EC","max.ECD","max.PID","max.FID","MiHPT_ID","max.depth","top","bottom"
"233","(71,72]",19.7550000000745,3.8715,192449.8,2815.35,29297.95,27,4.1,195318,2899,31739,"MIHPT-04",103.25,71,72
"234","(72,73]",11.8499999813735,4.0975,186956.5,2815.5,30152.5,28,4.31,190436,2976,39064,"MIHPT-04",103.25,72,73
"235","(73,74]",24.75,3.9705,184942.3,2792.6,28443.25,28,4.39,191656,2899,34181,"MIHPT-04",103.25,73,74
"236","(74,75]",4.25999999605119,3.974,186285,2838.25,28138.2,23,5.1,192877,2976,34181,"MIHPT-04",103.25,74,75
"237","(75,76]",6.5900000244379,4.016,184209.85,2788.8,27466.7,20,5.19,189215,2899,29298,"MIHPT-04",103.25,75,76
"238","(76,77]",1.21999999657273,7.7395,188055.15,2804.05,28565.5,17,9.45,196539,2976,32960,"MIHPT-04",103.25,76,77
"240","(78,79]",0.89299999512732,3.99,189459.05,2796.4,31312.15,3.79999995231628,4.81,194098,2976,40284,"MIHPT-04",103.25,78,79
"241","(79,80]",18.1750000048429,3.655,197637.85,2834.45,38026.05,30,4.5,203864,2976,48830,"MIHPT-04",103.25,79,80
"242","(80,81]",28.6149999856949,2.856,205389.55,2872.45,43336.15,35,3.33,211188,2976,63478,"MIHPT-04",103.25,80,81
"243","(81,82]",42.05,3.1995,202398.75,2803.95,31556.2,59,3.6,212409,2899,39064,"MIHPT-04",103.25,81,82
"244","(82,83]",38.05,3.0485,256843.8,2849.7,41993.45,51,3.77,357677,2976,56154,"MIHPT-04",103.25,82,83
"245","(83,84]",56.35,3.2715,248115.55,2830.6,35462.4,61,4.87,296640,2976,39064,"MIHPT-04",103.25,83,84
"246","(84,85]",34.3849999953061,4.283,341563.15,2845.85,48524.4,59,5.08,438246,2976,62258,"MIHPT-04",103.25,84,85
"247","(85,86]",5.69500000812113,5.4835,271919.85,2834.45,36439.2,34,6.87,333262,2976,57375,"MIHPT-04",103.25,85,86
"249","(87,88]",0.975000005960464,7.6215,191351.1,2804,28199.15,6.5,8.45,200201,2976,29298,"MIHPT-04",103.25,87,88
"253","(91,92]",0.546000003442168,5.0075,3383587.15,2884.1,33082.2,3.5,5.59,5702078,2976,37843,"MIHPT-04",103.25,91,92
