LOCID,ECOORD,NCOORD,ELEV
B10TMW-B1,389510.477222222,1427562.02833333,1083.3
B10TMW-B2,389530.447222222,1427549.43833333,1082.41
B10TMW-B3,389557.857222222,1427519.63833333,1079.85
B10TMW-I1,389523.007222222,1427542.17833333,1082.33
B10TMW-I2,389525.637222222,1427547.35833333,1082.61
B10TMW-I3,389527.507222222,1427553.04833333,1082.51
B10TMW-I4,389533.487222222,1427551.40833333,1082.04
B10TMW-I5,389535.237222222,1427544.14833333,1082.04
B10TMW-I6,389531.937222222,1427538.98833333,1082.03
B10TMW-P1,389532.977222222,1427555.43833333,1082.16
B10TMW-P2,389536.567222222,1427540.87833333,1081.93
B10TMW-P3,389526.317222222,1427541.11833333,1082.25
B10TMW-P4,389522.937222222,1427552.69833333,1082.69
B10TMW-P5,389530.837222222,1427545.39833333,1082.27
B10TMW-P6,389550.507222222,1427548.89833333,1080.36
B10TMW-P7,389545.297222222,1427525.49833333,1081
B10TMW-P8,389514.517222222,1427563.75833333,1083.06
B10TMW-W1,389531.727222222,1427555.01833333,1082.17
B10TMW-W2,389544.777222222,1427561.78833333,1080.76
B10TMW-W3,389553.847222222,1427536.22833333,1080.26
B10TMW-W4,389538.537222222,1427522.83833333,1081.19
B10TMW-W5,389495.997222222,1427546.44833333,1082.87
B10TMW-W6,389509.277222222,1427562.96833333,1083.35
B10VW1,389503.887222222,1427157.82833333,1086.82
B10WS001,390247.667222222,1427464.91833333,1047.44
B10WS002,390413.127222222,1427278.16833333,1045.32
B10WS003,390430.267222222,1427299.15833333,1042.33
B10WS004,392028.847222222,1426894.46833333,1009.67
B10WTHP001,389789.787222222,1427927.72833333,1105.4
B10WTHP002,389843.657222222,1427915.50833333,1103.61
B10WTHP003,389873.347222222,1427861.14833333,1100.92
B10WTHP004,389803.717222222,1427867.61833333,1104.07
B10WTHP005,389777.707222222,1427851.26833333,1104.09
B10WTHP006,389734.727222222,1427863.14833333,1105.01
B10WTHP007,389428.237222222,1427653.57833333,1090.31
B10WTHP008,389489.727222222,1427633.26833333,1083.54
B10WTHP009,389557.817222222,1427615.51833333,1080.65
B10WTHP010,389611.967222222,1427614.82833333,1079.26
B10WTHP011,389679.387222222,1427606.33833333,1079.62
B10WTHP012,389336.877222222,1427506.55833333,1094.04
B10WTHP013,389312.927222222,1427432.31833333,1092.62
B10WTHP014,389237.647222222,1427317.65833333,1095.46
B10WTHP015,389288.507222222,1427304.05833333,1094.27
B10WTHP016,389321.547222222,1427355.43833333,1086.02
B10WTHP017,389340.097222222,1427282.76833333,1093.3
B10WTHP018,389400.767222222,1427290.25833333,1092.13
B10WTHP019,389475.477222222,1427270.62833333,1089.87
B10WTHP020,389545.017222222,1427326.15833333,1079.57
B10WTHP021,389534.637222222,1427368.29833333,1079.91
B10WTHP023,389564.307222222,1427302.59833333,1079.06
B10WTHP024,389359.427222222,1427583.97833333,1094.01
B10WTHP025,389722.167222222,1427821.00833333,1093.99
B10WTHP026,389829.217222222,1427824.13833333,1100.34
B10WTHP027,389928.787222222,1427896.65833333,1098.97
B10WTHP028,389875.747222222,1427941.89833333,1102.55
B10WTHP029,389686.677222222,1428066.16833333,1106.15
B10WTHP030,389916.027222222,1427828.43833333,1097.14
B10WTHP031,389420.527222222,1427533.92833333,1087.89
B10WTHP032,389373.077222222,1427449.78833333,1089.28
B30HP001,390033.337222222,1430126.27833333,1102.95
B30HP003,390095.997222222,1430119.00833333,1098.86
B30HP005,390031.327222222,1430109.17833333,1103.08
B30HP006,390057.447222222,1430106.43833333,1098.89
B30HP007,390090.587222222,1430101.84833333,1099.26
B30HP008,390102.577222222,1430099.67833333,1099.19
B30HP009,390029.767222222,1430093.13833333,1102.8
B30HP013,390033.347222222,1430076.93833333,1102.24
B30HP014,390051.817222222,1430073.42833333,1099.53
B30HP016,390090.597222222,1430069.78833333,1099.86
B30HP017,390039.507222222,1430145.73833333,1102.99
B30HP018,390071.407222222,1430142.51833333,1098.7
B30HP020,390117.697222222,1430132.43833333,1098.3
B30HP021,389981.427222222,1430174.99833333,1103.32
