LOCID,ECOORD,NCOORD,ELEV,MPELEV,IBDEPTH,IEDEPTH,maxdepth,zero,ECOORD.1,NCOORD.1
B04MIP09,389881.66195,1429655.23965,1107.33,NA,NA,NA,NA,0,389881.66195,1429655.23965
B04MIP10,389932.73973,1429702.61552,1105.6500000000001,NA,NA,NA,NA,0,389932.73973,1429702.61552
B04MIP11,389927.06528,1429647.01447,1108.53,NA,NA,NA,NA,0,389927.06528,1429647.01447
B04MIP12,389992.80857,1429645.90579,1108.76,NA,NA,NA,NA,0,389992.80857,1429645.90579
B04MIP13,389952.30639,1429648.20457,1108.71,NA,NA,NA,NA,0,389952.30639,1429648.20457
B04MIP14,389956.8542,1429579.46276,1109.32,NA,NA,NA,NA,0,389956.8542,1429579.46276
B04MIP15,389914.70397,1429568.36527,1108.08,NA,NA,NA,NA,0,389914.70397,1429568.36527
B04MIP19,389983.57681,1429603.21643,1109.05,NA,NA,NA,NA,0,389983.57681,1429603.21643
B04MIP21,389940.71208,1429557.50247,1109.49,NA,NA,NA,NA,0,389940.71208,1429557.50247
B04MIP25,389919.31332,1429557.39454,1108.71,NA,NA,NA,NA,0,389919.31332,1429557.39454
B04MPC03A,389874.58576,1429551.98091,1107.5,NA,NA,NA,NA,0,389874.58576,1429551.98091
B04MPC03B,389874.78928,1429552.72015,1107.51,NA,NA,NA,NA,0,389874.78928,1429552.72015
B04MPC03C,389874.98443,1429553.41696,1107.51,NA,NA,NA,NA,0,389874.98443,1429553.41696
B04MPC04A,389946.21183,1429699.48859,1105.5999999999999,NA,NA,NA,NA,0,389946.21183,1429699.48859
B04MPC04B,389945.3357,1429699.65845,1105.5999999999999,NA,NA,NA,NA,0,389945.3357,1429699.65845
B04MPC04C,389944.5458,1429699.93907,1105.6099999999999,NA,NA,NA,NA,0,389944.5458,1429699.93907
B04MPC09A,389878.95347,1429650.14526,1107.33,NA,NA,NA,NA,0,389878.95347,1429650.14526
B04MPC09B,389883.04826,1429652.93823,1107.3499999999999,NA,NA,NA,NA,0,389883.04826,1429652.93823
B04MPC09C,389878.32168,1429648.78333,1107.32,NA,NA,NA,NA,0,389878.32168,1429648.78333
B04MPC14A,389954.85524,1429577.29747,1109.33,NA,NA,NA,NA,0,389954.85524,1429577.29747
B04MPC14B,389953.77574,1429577.66226,1109.3399999999999,NA,NA,NA,NA,0,389953.77574,1429577.66226
B04MPC14C,389952.52542,1429578.08244,1109.31,NA,NA,NA,NA,0,389952.52542,1429578.08244
B04PZA,390802.236,1430622.798,1031.96,NA,NA,NA,NA,0,390802.236,1430622.798
B04PZB,390795.587,1430620.57,1032.08,NA,NA,NA,NA,0,390795.587,1430620.57
B4MWAA,390201.64,1431421.59,1069.40,1071.47,59.35,74.51,74.51,0,390201.64,1431421.59
B4MWBB,389935.31,1430374.37,1093.70,1093.26,29,44.23,44.23,0,389935.31,1430374.37
B4MWDD,391954.23,1429350.92,1095.70,1097.9,41,56,56,0,391954.23,1429350.92
B4MWF,389651.02,1430751.23,1084.88,1091.62,NA,NA,NA,0,389651.02,1430751.23
B4MWFF,391749.14,1429822.1,1099.27,1101.36,NA,NA,NA,0,391749.14,1429822.1
B4MWH,390505.93548,1430372.92577,1077.076,1076.87,64,79,79,0,390505.93548,1430372.92577
B4MWHH-A,391039.59,1429828.42,1103.11,1104.08,425,435,435,0,391039.59,1429828.42
B4MWHH-B,391041.69,1429830.42,1103.11,1104.08,195,245,245,0,391041.69,1429830.42
B4MWI-A,390520.83067,1430367.429148,1076.6874399999999,NA,NA,NA,NA,0,390520.83067,1430367.429148
B4MWI-B,390524.93067,1430370.929148,1076.6874399999999,NA,NA,NA,NA,0,390524.93067,1430370.929148
B4MWI-C,390518.43067,1430365.3291479999,1076.6874399999999,NA,NA,NA,NA,0,390518.43067,1430365.3291479999
B4MWQ,390642.23,1430791.46,1062.30,1064.99,NA,NA,NA,0,390642.23,1430791.46
B4MWT,389992.37,1429611.25,1109.10,1108.52,NA,NA,NA,0,389992.37,1429611.25
B4MWU,390264.7,1430131.16,1095.50,1095.27,104,119,119,0,390264.7,1430131.16
B4MWV,390711.45,1429390.55,1107.40,1107.12,83.2,98.2,98.2,0,390711.45,1429390.55
B4MWZ,390200,1430984,ND,NA,NA,NA,NA,0,390200,1430984
DPT516,389684.29,1429704.2,1108.21,NA,NA,NA,NA,0,389684.29,1429704.2
DPT517,389640.45,1429284.57,1110.39,NA,NA,NA,NA,0,389640.45,1429284.57
DPW-1,389920.93,1429639.01,1109.37,1108.74,14,114,114,0,389920.93,1429639.01
DPW-2,389880.03,1429699.26,1107.17,1106.56,10,180,180,0,389880.03,1429699.26
DPW-3,389978.84,1429670.75,1109.47,1108.86,10,155,155,0,389978.84,1429670.75
MP1-2-D,389919.388,1429702.443,1106.61,NA,NA,NA,NA,0,389919.388,1429702.443
MP1-2-I,389914.956,1429699.21,1106.61,NA,NA,NA,NA,0,389914.956,1429699.21
MP1-2-S,389914.151,1429697.54,1106.61,NA,NA,NA,NA,0,389914.151,1429697.54
MW-03-202A,390362.803,1432200.601,1064.02,1063.72,190.15,200.15,200.15,0,390362.803,1432200.601
MW-03-202B,390363.627,1432185.85,1064.05,1063.71,67.6,87.6,87.6,0,390363.627,1432185.85
MW-W1,389787.91,1429465.25,1107.20,1106.12,30,40,40,0,389787.91,1429465.25
MW-W1R,389781.24,1429468.37,1107.26,1107.05,30,40,40,0,389781.24,1429468.37
MW-W2,390408.67,1429978.66,1092.73,1093.79,180,190,190,0,390408.67,1429978.66
MW-W3,391789.54,1430354.63,1078.60,1078.54,176,186,186,0,391789.54,1430354.63
MW-W4,391681.44,1430504.59,1064.10,1063.57,60,70,70,0,391681.44,1430504.59
MW-W5,391876.28,1430396.41,1073.20,1073.16,190,200,200,0,391876.28,1430396.41
MW-W6,392045.4,1430453.14,1053.70,1052.18,77,87,87,0,392045.4,1430453.14
MW-W7,391889.55,1430548.97,1039.15,1039.15,41,51,51,0,391889.55,1430548.97
MW00-101,392085.96,1431729.7,1024.11,1024.14,198,213,213,0,392085.96,1431729.7
MW00-102A,391997.03,1431220.32,1006.33,1008.86,265,280,280,0,391997.03,1431220.32
MW00-102B,391965.62,1431219.43,1006.09,1008.86,20.5,27.5,27.5,0,391965.62,1431219.43
MW00-103A,392436.81,1431510.42,1051.10,1053.89,521,551,551,0,392436.81,1431510.42
MW00-103B,392428.21,1431505.43,1050.98,1053.29,88,98,98,0,392428.21,1431505.43
MW00-104,392212.34,1430917.09,1002.83,1005.86,263,278,278,0,392212.34,1430917.09
MW00-107A,392362.04,1429312.36,1071.30,1073.26,286,301,301,0,392362.04,1429312.36
MW00-107B,392359.08,1429314.62,1071.30,1073.29,128,143,143,0,392359.08,1429314.62
MW00-107C,392360.04,1429299.33,1071.28,1073.29,55,65,65,0,392360.04,1429299.33
MW1,390098.28,1430102.41,1098.35,1097.88,25.5,30.5,30.5,0,390098.28,1430102.41
