LOCID,BEGDEPTH,ENDDEPTH,LOGDATE,ASTMCODE,HS_UNIT,VISDESC,USER_COMMENTS,lithcode
AFFHP012,11,15,2001-09-24T06:00:00Z,ML,NA,"CLAYEY SILT: LIGHT GRAY AND YELLOWISH RED MOTTLED, MOIST, STIFF.",NA,SILT
AFFHP012,10,11,2001-09-24T06:00:00Z,ML,NA,"CLAYEY SILT: VERY DARK GRAYISH BROWN, MOIST, SOFT.",NA,SILT
AFFHP012,20,23,2001-09-24T06:00:00Z,SM,NA,"SILTY SAND: WET, OLIVE GRAY, SOFT, SLIGHTLY CLAYEY.",NA,SILTY SAND
AFFHP013,1.7,2.8,2001-09-25T06:00:00Z,SM,NA,"SILTY SAND: SAPROLITE AND ROCK LAYERS OF GRANITIC GNEISS, BLACK AND WHITE, LOOSE, DRY.",NA,SILTY SAND
AFFHP013,2.8,7.9,2001-09-25T06:00:00Z,ML,NA,"CLAYEY SILT: VERY SOFT, WET, REDDISH BROWN, AMPHIBOLITE ROCK FRAGMENTS, MUSCOVITE FLAKES.",NA,SILT
AFFHP013,10,13.5,2001-09-25T06:00:00Z,CL,NA,"SILTY CLAY: SAPROLITE OF GRANITIC GNEISS HAS GRADED INTO A CLAY WITH LITTLE TO NO STRUCTURE LEFT, JUST TYPICAL COLOR - GRAY AND OLIVE BROWN, DAMP, SOFT.",NA,CLAY
AFFHP013,13.5,15,2001-09-25T06:00:00Z,CL,NA,"SILTY CLAY: SAPROLITE OF GRANITIC GNEISS, RELICT STRUCTURE VISIBLE, GRAY AND YELLOW.",NA,CLAY
AFFHP013,7.9,10,2001-09-25T06:00:00Z,ML,NA,"CLAYEY SILT: SAPROLITE OF GRANITIC GNEISS, OLIVE GRAY, DAMP, SOFT, RELICT STRUCTURE VISIBLE.",NA,SILT
AFFHP013,18,20,2001-09-25T06:00:00Z,CL,NA,"SILTY CLAY: SAPROLITE OF GRANITIC GNEISS, RELICT STRUCTURE VISIBLE, GRAY AND YELLOW, WET, SOFT.",NA,CLAY
AFFHP013,15,18,2001-09-25T06:00:00Z,CL,NA,"SILTY CLAY: SAPROLITE OF GRANITIC GNEISS, RELICT STRUCTURE VISIBLE, GRAY AND YELLOW, DAMP, SOFT.",NA,CLAY
AFFHP013,0,1.7,2001-09-25T06:00:00Z,NA,NA,"FILL: RED CLAYEY SILT, TYPICAL.",NA,NA
AFFHP014,5.4,8,2001-09-25T06:00:00Z,ML,NA,"CLAYEY SILT TO SILTY CLAY:, WET, SOFT, VERY WEATHERED SAPROLITE OF GRANITIC GNEISS, GRAY AND OLIVE BROWN.",NA,SILT
