LOCID,ECOORD,NCOORD,ELEV,MPELEV,IBDEPTH,IEDEPTH,maxdepth,zero,ECOORD.1,NCOORD.1,start_date,last_date,last_meas,last10mean,water_elev
MWG11,390860.587222222,1430652.52833333,1034.88,1037.55,62,87,87,0,390860.587222222,1430652.52833333,1986-01-30,2019-10-16,10.77,9.805,1027.745
MWG12,391652.417222222,1429923.11833333,1100.41,1102.91,20,40.7,40.7,0,391652.417222222,1429923.11833333,1986-01-30,2018-04-02,26.91,27.025,1075.885
MWG14,391388.257222222,1430040.37833333,1100.66,1100.66,7.5,20.8,20.8,0,391388.257222222,1430040.37833333,1986-01-30,2017-10-02,22.16,22.816666666666666,1077.8433333333335
MWG15,391354.897222222,1430138.23833333,1091.02,1093.6,27,37,37,0,391354.897222222,1430138.23833333,1986-01-30,2018-04-02,23.13,26.332,1067.2679999999998
MWG16,391664.997222222,1430172.53833333,1100.44,1102.86,15,35,35,0,391664.997222222,1430172.53833333,1986-01-30,2018-02-19,26.59,37.901,1064.9589999999998
MWG17,391738.107222222,1430173.79833333,1099.09,1101.87,18.8,28.8,28.8,0,391738.107222222,1430173.79833333,1986-01-30,2018-04-02,24.38,24.581,1077.289
MWG19,391665.487222222,1430169.19833333,1100.38,1102.96,55,60,60,0,391665.487222222,1430169.19833333,1986-01-30,2018-04-02,21.98,26.219,1076.741
MWG1A,389969.407222222,1429663.24833333,1109.15,1111.68,60.7,71,71,0,389969.407222222,1429663.24833333,1986-01-30,2019-10-20,32.45,31.625555555555557,1080.0544444444445
MWG2,390181.677222222,1429726.11833333,1108.87,1111.45,65.5,83.5,83.5,0,390181.677222222,1429726.11833333,1986-01-30,2019-10-18,32.95,32.969,1078.481
MWG20,391655.367222222,1430336.25833333,1083.38,1086.13,19.8,29.8,29.8,0,391655.367222222,1430336.25833333,1986-01-30,2018-04-02,26.34,25.244444444444444,1060.8855555555556
MWG21,391375.107222222,1430472.92833333,1068.52,1070.27,31.2,41.2,41.2,0,391375.107222222,1430472.92833333,1986-01-30,2018-04-02,22.78,26.223,1044.047
MWG22,391518.717222222,1430527.17833333,1069.1,1071.27,36.5,46.5,46.5,0,391518.717222222,1430527.17833333,1986-01-30,2019-10-17,33.09,31.002000000000002,1040.268
MWG3,389854.357222222,1429757.49833333,1105.06,1107.31,30.5,48,48,0,389854.357222222,1429757.49833333,1986-01-30,2002-04-23,29.71,127.96300000000001,979.347
MWG3R,389855.057222222,1429759.06833333,1105.26,1105.11,32.5,47.5,47.5,0,389855.057222222,1429759.06833333,1999-12-27,2019-10-20,26.1,26.891,1078.2189999999998
MWG4,390581.187222222,1429857.22833333,1105.3,1108.55,66.8,76.8,76.8,0,390581.187222222,1429857.22833333,1986-01-30,2019-10-17,58.71,57.793,1050.757
MWG5,390451.197222222,1430011.02833333,1091.16,1093.58,65.7,80.7,80.7,0,390451.197222222,1430011.02833333,1986-01-30,2018-04-02,38.58,39.756,1053.8239999999998
MWG5-5,390658.127222222,1430824.11833333,1056.69,1059.02,30.5,50.5,50.5,0,390658.127222222,1430824.11833333,1985-02-22,1995-12-19,30.39,31.759999999999998,1027.26
MWG5-5R,390658.157222222,1430826.33833333,1062.45,1064.9,67.9,82.9,82.9,0,390658.157222222,1430826.33833333,1998-04-02,2019-10-15,33.93,32.892,1032.008
MWG5-6,390748.967222222,1430754.90833333,1038.8,1041.04,16.5,36.5,36.5,0,390748.967222222,1430754.90833333,1985-02-22,2018-04-02,11.54,14.83375,1026.20625
MWG6,390504.617222222,1430583.62833333,1074.42,1075.84,49.5,59.5,59.5,0,390504.617222222,1430583.62833333,1986-01-30,2018-04-02,36.48,37.263333333333335,1038.5766666666666
MWG7,390867.367222222,1429796.58833333,1104.56,1107.14,41.5,51.5,51.5,0,390867.367222222,1429796.58833333,1986-01-30,2018-04-02,32.83,33.243,1073.8970000000002
MWOS-01,390664.557222222,1431690.94833333,1040.65,1040.64,NA,NA,NA,0,390664.557222222,1431690.94833333,1997-06-03,2018-04-02,5.42,85.789,954.8510000000001
MWOS-01R,390666.057222222,1431690.45833333,1040.65,1040.26,70.3,85.3,85.3,0,390666.057222222,1431690.45833333,2011-11-21,2019-10-16,10.13,7.298,1032.962
MWOS-02,391449.037222222,1431170.04833333,1012.64,1012.63,NA,NA,NA,0,391449.037222222,1431170.04833333,1997-06-04,2017-04-04,8.39,9.433,1003.197
MWOS-02R,391447.537222222,1431170.55833333,1012.73,1015.61,110,130,130,0,391447.537222222,1431170.55833333,2011-10-07,2015-12-01,7.43,9.113333333333333,1006.4966666666667
MWOS-03,391449.937222222,1431161.54833333,1012.94,1015.85,11,21,21,0,391449.937222222,1431161.54833333,1997-06-04,2014-05-09,9.46,10.995000000000001,1004.855
MWOS-04,391816.617222222,1430425.96833333,1075.16,1078.09,13,23,23,0,391816.617222222,1430425.96833333,1997-06-02,2019-10-21,24.1,21.858,1056.232
MWOS-09,392269.597222222,1430951.37833333,1003.06,1003.05,51.5,61.5,61.5,0,392269.597222222,1430951.37833333,1997-06-02,2019-10-21,9.26,8.138,994.9119999999999
MWOS-10,392264.737222222,1430960.81833333,1003.14,1003.13,NA,NA,NA,0,392264.737222222,1430960.81833333,1997-06-02,2017-10-03,9.15,14.479,988.651
MWOS-10R,392262.737222222,1430960.82833333,1002.99,1005.81,76,91,91,0,392262.737222222,1430960.82833333,2011-10-10,2019-10-21,9.21,8.128,997.6819999999999
MWOS-11,392372.497222222,1431017.05833333,1010.65,1013.38,35,45,45,0,392372.497222222,1431017.05833333,1997-06-02,2019-10-22,16.79,15.653,997.727
MWOS-12,392373.377222222,1431033.16833333,1012.97,1015.75,NA,NA,NA,0,392373.377222222,1431033.16833333,1997-06-02,2016-05-18,17.72,18.115,997.635
MWOS-12R,392376.877222222,1431030.67833333,1012.21,1015.85,59.5,74.5,74.5,0,392376.877222222,1431030.67833333,2011-10-07,2014-05-13,17.58,18.544999999999998,997.3050000000001
OB,391122.097222222,1430945.25833333,1068.66,NA,NA,NA,NA,0,391122.097222222,1430945.25833333,2016-05-18,2016-05-18,7.65,7.65,NA
OB201A,390502.307222222,1431301.16833333,1029.5,1029.29,16.4,21.4,21.4,0,390502.307222222,1431301.16833333,1998-04-02,2018-04-03,4.48,4.783,1024.507
OB201B,390503.457222222,1431295.88833333,1029.5,1028.82,NA,NA,NA,0,390503.457222222,1431295.88833333,1998-04-02,2017-10-02,0.95,5.789000000000001,1023.031
OB202A,390889.457222222,1431094.42833333,1053.5,1055.27,NA,NA,NA,0,390889.457222222,1431094.42833333,1998-04-02,2017-04-04,NA,34.102222222222224,1021.1677777777777
